Acc,Prec,Rec,F1S
0.8968692449355433,0.8996528994659089,0.8968692449355433,0.8968906592480502
0.8895027624309392,0.8933222097411004,0.8895027624309392,0.8896874214952588
0.8968692449355433,0.8992385838206353,0.8968692449355433,0.8969493015289877
0.8931860036832413,0.8951093401641343,0.8931860036832413,0.8932205773830079
0.8858195211786372,0.8878849183659563,0.8858195211786372,0.8856920902159581
0.8895027624309392,0.8923591389874755,0.8895027624309392,0.8894374333350707
0.8895027624309392,0.8918456127416315,0.8895027624309392,0.889252286923078
0.8895027624309392,0.8929189307416316,0.8895027624309392,0.8897548538113349
0.8839779005524862,0.8880455526527004,0.8839779005524862,0.8840585186865272
0.8876611418047882,0.8907609230473087,0.8876611418047882,0.8877556499564297
